mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.5356298069011903,0.22701560481703778,-0.1449784469441677,-0.1516717575681018,0.21479942447217387,0.24820401687354815
1,0.5477579590714998,0.23442015240786884,-0.14765300203297965,-0.1523256259369909,0.22272654288742463,0.26794658095735124
2,0.535241347059165,0.20127997896627456,-0.14629641797820217,-0.1554872350835197,0.16465809470052248,0.20105142885616528
3,0.3483216723107353,0.17183873665082375,-0.1296888003927954,-0.12869211016446508,0.08693564835663883,0.13976718346979372
4,0.31011326686686536,0.1813727605671834,-0.11660408371538558,-0.10800215031753452,0.12492590799059504,0.161536167368462
5,0.15427759191246407,0.168781465629885,-0.11137527820009989,-0.08882703668060427,0.08447264441372256,0.13330575406652803
6,0.3564513764645299,0.17551572818820774,-0.12021958204809506,-0.11515144714926562,0.09075783519052341,0.1595311573803684
7,0.45373860880716815,0.3641032400918068,-0.27567004226355385,-0.27129841143695255,0.15466948912182937,0.30835867070621703
8,0.11480678889794194,0.34766917984342705,-0.29237987789226755,-0.3099798105144942,0.08367188236693567,0.19910245089852685
9,0.17266224229359506,0.2032976894029869,-0.13813611070856854,-0.12995563485079864,0.10175281141815408,0.15954591214880404
10,0.4206392467012322,0.19741497058610413,-0.13249009446390406,-0.1193747099567774,0.12204832619394507,0.19239126165547826
11,0.3229372114981298,0.23789170737757737,-0.14290470369788014,-0.15849758280977122,0.2093815185732012,0.2136935025609399
12,0.613031536958277,0.24655167849760593,-0.17650488298933778,-0.18126723756123628,0.222750457272036,0.275224281894007
13,0.6196465543194216,0.24271500261896006,-0.1802744553325913,-0.1823414397579169,0.20903409106291734,0.24930289967700273
14,0.5304512039677066,0.22284015326436413,-0.1743316188716613,-0.1738103490386029,0.15419425257108155,0.18503577443266112
15,0.4894670398636151,0.18569022168410904,-0.13145485131802373,-0.11952778846485984,0.11326196723596467,0.17988530543969922
16,0.3767926328055332,0.18028181131889828,-0.12321221935826766,-0.11146947658715531,0.09104533396169318,0.16624482208163274
17,0.20614163112310427,0.13428835614556883,-0.07134120060792189,-0.039396665721903285,0.07059467189742422,0.12698887016730864
18,0.09879812385484256,0.17109067881936113,-0.1129577018334164,-0.1092984350898297,0.07542210019749401,0.13047343732206088
19,0.09608609446199037,0.18120994053278375,-0.13403407811023377,-0.12974546313105367,0.07097917703703305,0.12345512485928374
20,0.1542259384492977,0.1955314140862208,-0.1328684987481092,-0.12516983042761248,0.08188401547532062,0.15409789420152095
21,0.13936170560084948,0.2070259295132795,-0.13408913288810084,-0.1451770624927223,0.09219646743743043,0.16707468273631604
22,0.3480072588886332,0.17950655594750647,-0.1041070109135885,-0.08513592344778173,0.09818360487804388,0.1809301780457482
23,0.17707115608304197,0.27321889131483884,-0.134670614715702,-0.18539133974753663,0.21785669482329226,0.21013260548566645
24,NA,NA,NA,NA,NA,0.24036691807334967
25,NA,NA,NA,NA,NA,0.21983015855680746
26,NA,NA,NA,NA,0.4567280214793566,NA
27,NA,NA,NA,NA,0.09731415020547785,NA
28,NA,NA,NA,NA,0.08269524369352327,NA
29,NA,NA,NA,NA,0.07697351244618225,NA
30,NA,NA,NA,NA,0.07785574779058413,NA
