mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.25653894197719496
0,0,mean,ref,NA
0,0,sd,meas,0.21726801869350057
0,0,sd,ref,NA
0,0,kurtosis,meas,26.9959183380048
0,0,kurtosis,ref,NA
0,0,skewness,meas,3.772201222576467
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.2934033363664228
1,0,mean,ref,NA
1,0,sd,meas,0.2164009383585809
1,0,sd,ref,NA
1,0,kurtosis,meas,13.65830482362838
1,0,kurtosis,ref,NA
1,0,skewness,meas,2.635789596403755
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.2652697448718952
2,0,mean,ref,NA
2,0,sd,meas,0.16954434900172655
2,0,sd,ref,NA
2,0,kurtosis,meas,6.715967430020405
2,0,kurtosis,ref,NA
2,0,skewness,meas,1.8659075916408223
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.1941366756989947
3,0,mean,ref,NA
3,0,sd,meas,0.08729844316693286
3,0,sd,ref,NA
3,0,kurtosis,meas,23.58952264737271
3,0,kurtosis,ref,NA
3,0,skewness,meas,3.3643721062449616
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.22578434369224679
4,0,mean,ref,NA
4,0,sd,meas,0.12775520457888243
4,0,sd,ref,NA
4,0,kurtosis,meas,14.543867320436323
4,0,kurtosis,ref,NA
4,0,skewness,meas,2.6550334396566435
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.20507766682683853
5,0,mean,ref,NA
5,0,sd,meas,0.082338485412364
5,0,sd,ref,NA
5,0,kurtosis,meas,10.429318746642496
5,0,kurtosis,ref,NA
5,0,skewness,meas,1.8510617781074379
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.2441354835627994
6,0,mean,ref,NA
6,0,sd,meas,0.08947911802957449
6,0,sd,ref,NA
6,0,kurtosis,meas,5.8814021318662295
6,0,kurtosis,ref,NA
6,0,skewness,meas,1.084637317497709
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.29399253380968465
7,0,mean,ref,NA
7,0,sd,meas,0.15896415133509365
7,0,sd,ref,NA
7,0,kurtosis,meas,6.98489058346834
7,0,kurtosis,ref,NA
7,0,skewness,meas,2.116615960618795
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.29686692632842526
8,0,mean,ref,NA
8,0,sd,meas,0.07602391892053409
8,0,sd,ref,NA
8,0,kurtosis,meas,2.5516597782925015
8,0,kurtosis,ref,NA
8,0,skewness,meas,0.3039699007995476
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.3084412278213306
9,0,mean,ref,NA
9,0,sd,meas,0.101855348522291
9,0,sd,ref,NA
9,0,kurtosis,meas,6.666830993865457
9,0,kurtosis,ref,NA
9,0,skewness,meas,1.5053440967770957
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.2951724406816516
10,0,mean,ref,NA
10,0,sd,meas,0.11314553746719873
10,0,sd,ref,NA
10,0,kurtosis,meas,6.801830185035668
10,0,kurtosis,ref,NA
10,0,skewness,meas,1.6654581154597756
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.3106196761377255
11,0,mean,ref,NA
11,0,sd,meas,0.21268602393389624
11,0,sd,ref,NA
11,0,kurtosis,meas,9.446160559871247
11,0,kurtosis,ref,NA
11,0,skewness,meas,2.3945002281906715
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.2886436461114354
12,0,mean,ref,NA
12,0,sd,meas,0.21056759962127444
12,0,sd,ref,NA
12,0,kurtosis,meas,14.476909369275361
12,0,kurtosis,ref,NA
12,0,skewness,meas,2.939791605008362
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.2758553801898074
13,0,mean,ref,NA
13,0,sd,meas,0.183460171405707
13,0,sd,ref,NA
13,0,kurtosis,meas,8.49616694547822
13,0,kurtosis,ref,NA
13,0,skewness,meas,2.3050684045525265
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,0.2535961476601979
14,0,mean,ref,NA
14,0,sd,meas,0.1512989496254878
14,0,sd,ref,NA
14,0,kurtosis,meas,8.823292785794795
14,0,kurtosis,ref,NA
14,0,skewness,meas,2.201984332330057
14,0,skewness,ref,NA
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,0.22276738022551112
15,0,mean,ref,NA
15,0,sd,meas,0.10830694006275574
15,0,sd,ref,NA
15,0,kurtosis,meas,6.983148261233036
15,0,kurtosis,ref,NA
15,0,skewness,meas,1.8098702069687125
15,0,skewness,ref,NA
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,0.1978362366188514
16,0,mean,ref,NA
16,0,sd,meas,0.09091651850627454
16,0,sd,ref,NA
16,0,kurtosis,meas,7.642905891441964
16,0,kurtosis,ref,NA
16,0,skewness,meas,1.9542911894044082
16,0,skewness,ref,NA
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,0.19822051228892154
17,0,mean,ref,NA
17,0,sd,meas,0.06978638420651123
17,0,sd,ref,NA
17,0,kurtosis,meas,9.112587506783413
17,0,kurtosis,ref,NA
17,0,skewness,meas,1.8721712346917294
17,0,skewness,ref,NA
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,0.2322410233021837
18,0,mean,ref,NA
18,0,sd,meas,0.07334732548305871
18,0,sd,ref,NA
18,0,kurtosis,meas,3.5417160906066583
18,0,kurtosis,ref,NA
18,0,skewness,meas,0.8879670648277841
18,0,skewness,ref,NA
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,0,mean,meas,0.22316467603129553
19,0,mean,ref,NA
19,0,sd,meas,0.06854461414393252
19,0,sd,ref,NA
19,0,kurtosis,meas,3.6374614111044696
19,0,kurtosis,ref,NA
19,0,skewness,meas,0.8461206133106094
19,0,skewness,ref,NA
19,0,KL,NA,NA
19,0,hellinger,NA,NA
19,0,euclidean,NA,NA
20,0,mean,meas,0.27866813457545575
20,0,mean,ref,NA
20,0,sd,meas,0.07655954265074166
20,0,sd,ref,NA
20,0,kurtosis,meas,3.511405312269137
20,0,kurtosis,ref,NA
20,0,skewness,meas,0.8817738606917436
20,0,skewness,ref,NA
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,0.2879223215299177
21,0,mean,ref,NA
21,0,sd,meas,0.08647121740709478
21,0,sd,ref,NA
21,0,kurtosis,meas,3.1460268968174145
21,0,kurtosis,ref,NA
21,0,skewness,meas,0.5707758035057899
21,0,skewness,ref,NA
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,0.24682692446806473
22,0,mean,ref,NA
22,0,sd,meas,0.10226160524490573
22,0,sd,ref,NA
22,0,kurtosis,meas,9.714306019509351
22,0,kurtosis,ref,NA
22,0,skewness,meas,1.9973126575901374
22,0,skewness,ref,NA
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,0.34764615321335485
23,0,mean,ref,NA
23,0,sd,meas,0.22806329567323086
23,0,sd,ref,NA
23,0,kurtosis,meas,6.7031779699016205
23,0,kurtosis,ref,NA
23,0,skewness,meas,1.7335049337297213
23,0,skewness,ref,NA
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,NA
24,0,mean,ref,NA
24,0,sd,meas,NA
24,0,sd,ref,NA
24,0,kurtosis,meas,NA
24,0,kurtosis,ref,NA
24,0,skewness,meas,NA
24,0,skewness,ref,NA
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,NA
25,0,mean,ref,NA
25,0,sd,meas,NA
25,0,sd,ref,NA
25,0,kurtosis,meas,NA
25,0,kurtosis,ref,NA
25,0,skewness,meas,NA
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,0.23872458941448682
26,0,mean,ref,NA
26,0,sd,meas,0.502430527721564
26,0,sd,ref,NA
26,0,kurtosis,meas,168.8548482772497
26,0,kurtosis,ref,NA
26,0,skewness,meas,11.864735668345647
26,0,skewness,ref,NA
26,0,KL,NA,NA
26,0,hellinger,NA,NA
26,0,euclidean,NA,NA
27,0,mean,meas,0.19276778223221763
27,0,mean,ref,NA
27,0,sd,meas,0.10066846112305615
27,0,sd,ref,NA
27,0,kurtosis,meas,9.722751620842049
27,0,kurtosis,ref,NA
27,0,skewness,meas,2.235938058747093
27,0,skewness,ref,NA
27,0,KL,NA,NA
27,0,hellinger,NA,NA
27,0,euclidean,NA,NA
