mos_into_deployment,pdf_resolution,statistic,plottype,value
0,50,mean,meas,0.2544169289956991
0,50,mean,ref,0.40111347517730495
0,50,sd,meas,0.21479942447217387
0,50,sd,ref,0.24820401687354815
0,50,kurtosis,meas,25.98585041435356
0,50,kurtosis,ref,11.390617956945798
0,50,skewness,meas,3.706521464111746
0,50,skewness,ref,2.4963259996620715
0,50,KL,NA,0.6582316577286033
0,50,hellinger,NA,0.42209751531662265
0,50,euclidean,NA,0.34677927584216156
1,37,mean,meas,0.3031520620819051
1,37,mean,ref,0.4529
1,37,sd,meas,0.22272654288742463
1,37,sd,ref,0.26794658095735124
1,37,kurtosis,meas,11.529543632040342
1,37,kurtosis,ref,9.626394393506141
1,37,skewness,meas,2.403694026196377
1,37,skewness,ref,2.2210697075194044
1,37,KL,NA,0.5429628452559767
1,37,hellinger,NA,0.3627321859763501
1,37,euclidean,NA,0.29091067360701317
2,35,mean,meas,0.2631112194280045
2,35,mean,ref,0.41068479776847977
2,35,sd,meas,0.16465809470052248
2,35,sd,ref,0.20105142885616528
2,35,kurtosis,meas,7.126945282348335
2,35,kurtosis,ref,10.697884023450893
2,35,skewness,meas,1.928749703929232
2,35,skewness,ref,2.193990145982424
2,35,KL,NA,0.7061075217438847
2,35,hellinger,NA,0.41939650288585006
2,35,euclidean,NA,0.31607532752851253
3,21,mean,meas,0.19610020299868688
3,21,mean,ref,0.3238257956448911
3,21,sd,meas,0.08693564835663883
3,21,sd,ref,0.13976718346979372
3,21,kurtosis,meas,21.45418859912742
3,21,kurtosis,ref,7.054736205460604
3,21,skewness,meas,3.1497305586955244
3,21,skewness,ref,1.5105800374578944
3,21,KL,NA,0.9030011277160452
3,21,hellinger,NA,0.44395377442010725
3,21,euclidean,NA,0.3732076158011444
4,24,mean,meas,0.2214702165689256
4,24,mean,ref,0.34274489795918367
4,24,sd,meas,0.12492590799059504
4,24,sd,ref,0.161536167368462
4,24,kurtosis,meas,14.318342196751338
4,24,kurtosis,ref,7.44936822323409
4,24,skewness,meas,2.585481946424025
4,24,skewness,ref,1.7644172246295038
4,24,KL,NA,0.6739123118395607
4,24,hellinger,NA,0.4181571179424578
