mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.21726801869350057,0.21726801869350057
1,1,0,0,0,0.2164009383585809,0.2164009383585809
2,1,0,0,0,0.16954434900172655,0.16954434900172655
3,1,0,0,0,0.08729844316693286,0.08729844316693286
4,1,0,0,0,0.12775520457888243,0.12775520457888243
5,1,0,0,0,0.082338485412364,0.082338485412364
6,1,0,0,0,0.08947911802957449,0.08947911802957449
7,1,0,0,0,0.15896415133509365,0.15896415133509365
8,1,0,0,0,0.07602391892053409,0.07602391892053409
9,1,0,0,0,0.101855348522291,0.101855348522291
10,1,0,0,0,0.11314553746719873,0.11314553746719873
11,1,0,0,0,0.21268602393389624,0.21268602393389624
12,0.011241293746831468,0.3381802686678261,0.030884139410681872,0.027502269813627023,0.21056759962127444,0.21726801869350057
13,6.660938723340248e-6,0.26813957513352066,-0.021736092189512383,0.005299090620961511,0.183460171405707,0.2164009383585809
14,0.0631074372450958,0.19643723670822036,-0.009177516177465192,0.014084079337333244,0.1512989496254878,0.16954434900172655
15,0.007142979126057094,0.13628121216965994,0.029066248853772948,0.019803315994987802,0.10830694006275574,0.08729844316693286
16,0.0019220747320962397,0.1574784234747965,-0.02557562076947121,-0.00859740601954894,0.09091651850627454,0.12775520457888243
17,0.05642345598093695,0.0966346226845306,-0.0038724576516861436,-0.0012380734562307816,0.06978638420651123,0.082338485412364
18,0.06160649663962568,0.10608486319799679,-0.01776240207195958,-0.01635770278774512,0.07334732548305871,0.08947911802957449
19,0.0026371454568325883,0.2078050370310697,-0.08925342474617545,-0.029194633026392802,0.06854461414393252,0.15896415133509365
20,6.759689791813254e-4,0.11338516506263496,-0.02252694285537423,-0.03075313615703759,0.07655954265074166,0.07602391892053409
21,0.09810455783369702,0.12018382608655077,-0.031247506653791578,-0.028043282892378854,0.08647121740709478,0.101855348522291
22,0.12938700171645381,0.13544238133261968,-0.05081996652004387,-0.04663685765626782,0.10226160524490573,0.11314553746719873
23,0.057061685139199916,0.3503394617698088,-0.04555799612653664,-0.01045396275341115,0.22806329567323086,0.21268602393389624
24,NA,NA,NA,NA,NA,0.21726801869350057
25,NA,NA,NA,NA,NA,0.2164009383585809
26,1.6854356420201784e-4,0.545889924195574,-0.07454093533295507,-0.08766776714649699,0.502430527721564,0.16954434900172655
27,0.014754880617468076,0.1035140874531952,3.813143390193025e-5,-0.015571083236301894,0.10066846112305615,0.08729844316693286
28,0.00085359372403737675,0.15289427988794532,-0.0415519245475363,-0.017847356824779115,0.07261877867522543,0.12775520457888243
29,0.14666969008486516,0.098658212019831,0.009810665692928985,0.010632295548188259,0.08347163883310875,0.082338485412364
30,0.15822431558928457,0.0976846415552133,-0.012549990422669577,-0.012848780315382322,0.0803405025331384,0.09161247878167167
