mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.21479942447217387,0.21479942447217387
1,1,0,0,0,0.22272654288742463,0.22272654288742463
2,1,0,0,0,0.16465809470052248,0.16465809470052248
3,1,0,0,0,0.08693564835663883,0.08693564835663883
4,1,0,0,0,0.12492590799059504,0.12492590799059504
5,1,0,0,0,0.08447264441372256,0.08447264441372256
6,1,0,0,0,0.09075783519052341,0.09075783519052341
7,1,0,0,0,0.15466948912182937,0.15466948912182937
8,1,0,0,0,0.08367188236693567,0.08367188236693567
9,1,0,0,0,0.10175281141815408,0.10175281141815408
10,1,0,0,0,0.12204832619394507,0.12204832619394507
11,1,0,0,0,0.2093815185732012,0.2093815185732012
12,0.007674966876871107,0.32348747373828046,0.04780382553619236,0.03437202165094995,0.222750457272036,0.21479942447217387
13,3.172782484183786e-4,0.3149005657468057,-0.012335778342437424,0.0036892627248489435,0.20903409106291734,0.22272654288742463
14,0.06893506978783388,0.19605863558000816,-0.002058287136495813,0.016940123540707647,0.15419425257108155,0.16465809470052248
15,0.0019516955727356883,0.1438484115161975,0.03295351722490481,0.020669787357378448,0.11326196723596467,0.08693564835663883
16,0.0034472966422619475,0.15230234567772855,-0.025661371168227882,-0.014533815669066003,0.09104533396169318,0.12492590799059504
17,0.028191129088348886,0.1005806918806995,0.003714722897273361,0.009062446721722107,0.07059467189742422,0.08447264441372256
18,0.11000733275274883,0.1004459338292846,-0.02519824680042815,-0.024002848670694105,0.07542210019749401,0.09075783519052341
19,0.0030887415765328188,0.17963082199628952,-0.06753095094420875,-0.023336279300333995,0.07097917703703305,0.15466948912182937
20,0.07360707800045747,0.10019027579702708,-0.007993145985797576,-0.012772336627035946,0.08188401547532062,0.08367188236693567
21,0.16437789133467198,0.10782536658735048,-0.01981219393999496,-0.019643293330685208,0.09219646743743043,0.10175281141815408
22,0.16402471867138407,0.131632331357188,-0.050530092473411954,-0.042096200963241986,0.09818360487804388,0.12204832619394507
23,0.0014097350887948515,0.32247224813089603,-0.007680729275284248,-0.007463622414562721,0.21785669482329226,0.2093815185732012
24,NA,NA,NA,NA,NA,0.21479942447217387
25,NA,NA,NA,NA,NA,0.22272654288742463
26,5.347714482441821e-4,0.4994457500294001,-0.05220488226364776,-0.05898196454902131,0.4567280214793566,0.16465809470052248
27,0.0022677983233069343,0.12602660295984125,-0.0018777874105407092,-0.009335632014892098,0.09731415020547785,0.08693564835663883
28,0.0015367237061832699,0.15156426690592212,-0.036841059101938106,-0.016598875052758394,0.08269524369352327,0.12492590799059504
29,0.1004613908030398,0.0949103501973126,0.009035534375333854,0.011810533043362298,0.07697351244618225,0.08447264441372256
30,0.1862258270494845,0.0924663385592913,-0.008816909170419903,-0.00693765994413989,0.07785574779058413,0.09319707542547528
