mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.1999033065235793
0,0,mean,ref,NA
0,0,sd,meas,0.0760172457649953
0,0,sd,ref,NA
0,0,kurtosis,meas,5.550105628539432
0,0,kurtosis,ref,NA
0,0,skewness,meas,1.3392325785929724
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.24469671432011167
1,0,mean,ref,NA
1,0,sd,meas,0.13641841428195917
1,0,sd,ref,NA
1,0,kurtosis,meas,8.665424982179273
1,0,kurtosis,ref,NA
1,0,skewness,meas,2.111762730426967
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.20656549577716488
2,0,mean,ref,NA
2,0,sd,meas,0.13292687891478364
2,0,sd,ref,NA
2,0,kurtosis,meas,20.814421616051263
2,0,kurtosis,ref,NA
2,0,skewness,meas,3.496157887454873
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.1959431686528668
3,0,mean,ref,NA
3,0,sd,meas,0.11948135921471052
3,0,sd,ref,NA
3,0,kurtosis,meas,12.369143785823269
3,0,kurtosis,ref,NA
3,0,skewness,meas,2.6436047888727092
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.18986170835890437
4,0,mean,ref,NA
4,0,sd,meas,0.09835007150273573
4,0,sd,ref,NA
4,0,kurtosis,meas,18.820414261856
4,0,kurtosis,ref,NA
4,0,skewness,meas,2.8432496074213027
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.1926680960276911
5,0,mean,ref,NA
5,0,sd,meas,0.11275811849029092
5,0,sd,ref,NA
5,0,kurtosis,meas,17.854533528649473
5,0,kurtosis,ref,NA
5,0,skewness,meas,3.345565620269967
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
