mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.0760172457649953,0.0760172457649953
1,1,0,0,0,0.13641841428195917,0.13641841428195917
2,1,0,0,0,0.13292687891478364,0.13292687891478364
3,1,0,0,0,0.11948135921471052,0.11948135921471052
4,1,0,0,0,0.09835007150273573,0.09835007150273573
5,1,0,0,0,0.11275811849029092,0.11275811849029092
6,1,0,0,0,0.10674821254466048,0.10674821254466048
7,1,0,0,0,0.08336890256479415,0.08336890256479415
8,1,0,0,0,0.07772691381783985,0.07772691381783985
9,1,0,0,0,0.12391404874611393,0.12391404874611393
10,1,0,0,0,0.0699891360097763,0.0699891360097763
11,1,0,0,0,0.07266677616885686,0.07266677616885686
12,0.006561584065791826,0.12139847106615634,0.058257994605555564,0.03786546608482745,0.0831899388746283,0.0760172457649953
13,0.13856467174905107,0.15451492728931365,0.01729037884449889,0.03659154910055845,0.1352708785177213,0.13641841428195917
14,9.779578843603245e-6,0.1984596592341095,0.018654553093679725,0.022565676850390508,0.11797542056275032,0.13292687891478364
15,0.005253373206232854,0.20149322029771374,0.0638234179376408,0.03515298284596796,0.16642294733146892,0.11948135921471052
16,0.018768954011821257,0.11551727748360606,0.006475711905437721,0.007613014029609094,0.07564718367286508,0.09835007150273573
17,0.05037733491619636,0.09644407961384618,0.02520591488194199,0.018371431429751894,0.08856563580879968,0.11275811849029092
18,1.8832995049583866e-5,0.11502521347068964,0.00324122528587645,0.013528254235338613,0.08162064832916809,0.10674821254466048
19,0.0077886546420201964,0.1058108078953358,0.009120930141089948,0.010597653344127406,0.07010524124326718,0.08336890256479415
20,0.19432869173720277,0.0780487511032929,0.009154025734750881,0.0180566114596033,0.055685275860906346,0.07772691381783985
21,0.05448573730919317,0.15964894694993834,-0.09847253983821855,-0.06444817122334179,0.05808970940774042,0.12391404874611393
22,0.013592929300799616,0.09598989749853447,-0.04628269288724999,-0.04426500207276424,0.05983312575740567,0.0699891360097763
23,0.05543070724559218,0.09585193699900443,-0.03696720205831989,-0.042801228083582,0.06684441967749712,0.07266677616885686
24,0.11752642810034646,0.0980567325141354,0.029931742291534794,0.0318473623241817,0.07024144879131197,0.0760172457649953
25,0.024778268387926645,0.1628064310017856,-0.013740765973720969,0.0066560930557827,0.1149533489475285,0.13641841428195917
26,3.040746831643024e-6,0.1726898765110784,0.006771013585381135,0.006850253686951607,0.12130163260634581,0.13292687891478364
27,0.0016227373742991943,0.18088596388186065,0.0397789941884309,0.039595359273292906,0.12664510391130582,0.11948135921471052
28,0.03167843423142595,0.11985526417385887,-0.023075001585151026,-0.016096788852760356,0.11197271954065126,0.09835007150273573
29,0.006219504295666859,0.12333164400620003,-0.03025221422548544,-0.02159501299709929,0.06489221656240604,0.11275811849029092
30,0.0011245513728179585,0.11342629577325833,-0.0013784362409653915,-0.006262793005329906,0.07792768976436194,0.10674821254466048
31,0.025929172035363934,0.10268239938614444,0.003590641606633543,0.010107317600076715,0.07435916572450346,0.08336890256479415
32,0.10472054049325968,0.09210399867296104,0.0023874720035176604,-0.00278583409881078,0.06959006008797604,0.07772691381783985
33,0.45733715120524315,0.05981986126118786,-0.018003051440620088,-0.016228820723769882,0.05503145251205709,0.07654742968685946
