mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.07746112997811608,0.07746112997811608
1,1,0,0,0,0.16076016707568858,0.16076016707568858
2,1,0,0,0,0.15872337536645081,0.15872337536645081
3,1,0,0,0,0.18149889286073942,0.18149889286073942
4,1,0,0,0,0.11222245436642586,0.11222245436642586
5,1,0,0,0,0.10417392035839175,0.10417392035839175
6,1,0,0,0,0.10292113770189455,0.10292113770189455
7,1,0,0,0,0.08003307193382085,0.08003307193382085
8,1,0,0,0,0.07216737434714941,0.07216737434714941
9,1,0,0,0,0.13443128105256574,0.13443128105256574
10,1,0,0,0,0.0698946874995541,0.0698946874995541
11,1,0,0,0,0.07647204818002028,0.07647204818002028
12,5.502652486070085e-4,0.13216092557091985,0.05227305625743247,0.04269269692654866,0.09539914039667055,0.07746112997811608
13,0.007072795232316427,0.20730671152608549,0.006218830861091919,0.027465231275901503,0.1468396339819247,0.16076016707568858
14,1.5567814284793508e-4,0.21176468333859258,0.016119173374520096,0.033025337561979354,0.1356732446554263,0.15872337536645081
15,0.0076261002135012265,0.2798454197265807,0.05261120021354614,0.027566179677295494,0.19140980705816354,0.18149889286073942
16,0.015322391263171944,0.1444869716628288,0.010221350147743832,0.007935904975991448,0.10443032718744187,0.11222245436642586
17,0.009605126667590861,0.12124592109249943,0.042016991005015575,0.021752593733926087,0.10107302500608391,0.10417392035839175
18,0.006412557261869779,0.15039892660988505,0.01161030972971055,0.013773111197724515,0.10125922366276188,0.10292113770189455
19,0.0018002973478584148,0.10721822306094018,0.0071995869245027305,0.008695898675544197,0.0738301462454329,0.08003307193382085
20,0.1467298233885643,0.0742532538584214,0.00917963225840325,0.014060365909548345,0.059150225212723485,0.07216737434714941
21,0.021276131512613324,0.16034288244837702,-0.0824271581425476,-0.04291548638556902,0.05502949840604092,0.13443128105256574
22,0.0749464310551852,0.08127734367619517,-0.007956846659718842,-0.00974947344293918,0.06421639236426264,0.0698946874995541
23,0.057484223519320865,0.10606504670191598,-0.006376895392466519,-0.013217815070113492,0.09716793656691734,0.07647204818002028
24,0.043920409159134116,0.09646426753659909,0.023735216419868817,0.023230980846235635,0.07116508138581747,0.07746112997811608
25,0.11992007750093998,0.17228104335964559,-0.022222977000891594,-0.005794490743630837,0.13608710403735033,0.16076016707568858
26,0.007144471581085291,0.2106027487510723,-0.01453645104054902,0.0018801114045802064,0.12551445138248774,0.15872337536645081
27,0.02649638857696888,0.2466555143415177,-0.008992666239973891,0.011165710328799046,0.1397363682988057,0.18149889286073942
28,0.025671587047897567,0.14765603709697037,-0.0019801984726524904,-0.007397068334874635,0.1150429947667036,0.11222245436642586
29,0.0027143744051328967,0.12776857831286206,-0.028890184441600967,-0.02033741738689189,0.07157738825440015,0.10417392035839175
30,1.9875204207001727e-4,0.1275839269257127,-0.006983118691527279,0.0032967956461032455,0.07668449029540368,0.10292113770189455
31,0.011836878429379714,0.09902468848670666,-0.0030214993265607584,0.0020092637735573404,0.06701958347705446,0.08003307193382085
32,0.10907593394834589,0.08135679739822901,0.006351034829739386,0.00526132054592425,0.06796380319314986,0.07216737434714941
33,0.1731049446971827,0.08754275898141652,-0.008432532312875978,-0.0011888357117764148,0.05623128915941184,0.09419475885437843
