mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,NA,NA,NA,NA,0.1754778489852092,NA
1,NA,NA,NA,NA,0.12757291183696434,NA
2,NA,NA,NA,NA,0.2376207860301184,NA
3,NA,NA,NA,NA,0.11492975547631225,NA
4,NA,NA,NA,NA,0.1374661595320404,NA
5,NA,NA,NA,NA,0.10579338480512529,NA
6,NA,NA,NA,NA,0.08625197964103884,NA
7,NA,NA,NA,NA,0.06646267978817724,NA
8,NA,NA,NA,NA,0.14358136691229784,NA
9,NA,NA,NA,NA,0.059838990595523243,NA
10,NA,NA,NA,NA,0.0677893788834653,NA
11,NA,NA,NA,NA,0.0889594870300532,NA
12,NA,NA,NA,NA,0.14046558553422525,NA
13,NA,NA,NA,NA,0.18116314596820565,NA
14,NA,NA,NA,NA,0.21996770932829218,NA
15,NA,NA,NA,NA,0.10112839645355412,NA
16,NA,NA,NA,NA,0.11426904540700732,NA
17,NA,NA,NA,NA,0.08755548189668567,NA
18,NA,NA,NA,NA,0.06920149860220581,NA
19,NA,NA,NA,NA,0.05906178292462753,NA
20,NA,NA,NA,NA,0.056857323565746264,NA
21,NA,NA,NA,NA,0.061402756923394385,NA
22,NA,NA,NA,NA,0.05998540287746519,NA
23,NA,NA,NA,NA,0.07725667959134407,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,2.82152734420077,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,0.07476459488122379,NA
31,NA,NA,NA,NA,0.05722963578579586,NA
32,NA,NA,NA,NA,0.057817989450987865,NA
