mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.31629258635998586
0,0,mean,ref,NA
0,0,sd,meas,0.1754778489852092
0,0,sd,ref,NA
0,0,kurtosis,meas,5.129062492310943
0,0,kurtosis,ref,NA
0,0,skewness,meas,1.4643940734237453
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.23011614913611342
1,0,mean,ref,NA
1,0,sd,meas,0.12757291183696434
1,0,sd,ref,NA
1,0,kurtosis,meas,12.19868688264882
1,0,kurtosis,ref,NA
1,0,skewness,meas,2.690294596909382
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.29550780472785093
2,0,mean,ref,NA
2,0,sd,meas,0.2376207860301184
2,0,sd,ref,NA
2,0,kurtosis,meas,7.739967805843657
2,0,kurtosis,ref,NA
2,0,skewness,meas,2.2570754809200393
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.2302356655637682
3,0,mean,ref,NA
3,0,sd,meas,0.11492975547631225
3,0,sd,ref,NA
3,0,kurtosis,meas,19.89321910449734
3,0,kurtosis,ref,NA
3,0,skewness,meas,3.2519607598629907
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.23091715731011672
4,0,mean,ref,NA
4,0,sd,meas,0.1374661595320404
4,0,sd,ref,NA
4,0,kurtosis,meas,20.110515048207954
4,0,kurtosis,ref,NA
4,0,skewness,meas,3.6638593061459392
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.20380453388211542
5,0,mean,ref,NA
5,0,sd,meas,0.10579338480512529
5,0,sd,ref,NA
5,0,kurtosis,meas,11.496244306320209
5,0,kurtosis,ref,NA
5,0,skewness,meas,2.601151993657084
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.19899788462215381
6,0,mean,ref,NA
6,0,sd,meas,0.08625197964103884
6,0,sd,ref,NA
6,0,kurtosis,meas,21.026180144646787
6,0,kurtosis,ref,NA
6,0,skewness,meas,3.366428528052677
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.20978112720574074
7,0,mean,ref,NA
7,0,sd,meas,0.06646267978817724
7,0,sd,ref,NA
7,0,kurtosis,meas,4.841844564812835
7,0,kurtosis,ref,NA
7,0,skewness,meas,0.7683021110257118
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.28720054189583094
8,0,mean,ref,NA
8,0,sd,meas,0.14358136691229784
8,0,sd,ref,NA
8,0,kurtosis,meas,5.817468862443649
8,0,kurtosis,ref,NA
8,0,skewness,meas,1.8163852179776792
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.26559097944559545
9,0,mean,ref,NA
9,0,sd,meas,0.059838990595523243
9,0,sd,ref,NA
9,0,kurtosis,meas,3.7968544405840596
9,0,kurtosis,ref,NA
9,0,skewness,meas,0.48892991353924536
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.27883927962050375
10,0,mean,ref,NA
10,0,sd,meas,0.0677893788834653
10,0,sd,ref,NA
10,0,kurtosis,meas,10.212627724124099
10,0,kurtosis,ref,NA
10,0,skewness,meas,1.7927797249152773
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.2986817440162513
11,0,mean,ref,NA
11,0,sd,meas,0.0889594870300532
11,0,sd,ref,NA
11,0,kurtosis,meas,7.6558471886828
11,0,kurtosis,ref,NA
11,0,skewness,meas,1.6912745860528329
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.2733614476345892
12,0,mean,ref,NA
12,0,sd,meas,0.14046558553422525
12,0,sd,ref,NA
12,0,kurtosis,meas,16.382553182595437
12,0,kurtosis,ref,NA
12,0,skewness,meas,3.0579549450189485
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.2800181661390359
13,0,mean,ref,NA
13,0,sd,meas,0.18116314596820565
13,0,sd,ref,NA
13,0,kurtosis,meas,10.71062963003306
13,0,kurtosis,ref,NA
13,0,skewness,meas,2.659112044867043
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,0.30466085619808425
14,0,mean,ref,NA
14,0,sd,meas,0.21996770932829218
14,0,sd,ref,NA
14,0,kurtosis,meas,11.635749797202212
14,0,kurtosis,ref,NA
14,0,skewness,meas,2.801825259246434
14,0,skewness,ref,NA
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,0.22205904593248343
15,0,mean,ref,NA
15,0,sd,meas,0.10112839645355412
15,0,sd,ref,NA
15,0,kurtosis,meas,34.82230946602462
15,0,kurtosis,ref,NA
15,0,skewness,meas,4.312646016065846
15,0,skewness,ref,NA
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,0.22493365546024058
16,0,mean,ref,NA
16,0,sd,meas,0.11426904540700732
16,0,sd,ref,NA
16,0,kurtosis,meas,8.967243414345909
16,0,kurtosis,ref,NA
16,0,skewness,meas,2.2667843748578194
16,0,skewness,ref,NA
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,0.19548037216959444
17,0,mean,ref,NA
17,0,sd,meas,0.08755548189668567
17,0,sd,ref,NA
17,0,kurtosis,meas,12.456736269450559
17,0,kurtosis,ref,NA
17,0,skewness,meas,2.680830849123689
17,0,skewness,ref,NA
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,0.18720125954550396
18,0,mean,ref,NA
18,0,sd,meas,0.06920149860220581
18,0,sd,ref,NA
18,0,kurtosis,meas,16.710209326640165
18,0,kurtosis,ref,NA
18,0,skewness,meas,2.8962524460992096
18,0,skewness,ref,NA
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,0,mean,meas,0.205893607537417
19,0,mean,ref,NA
19,0,sd,meas,0.05906178292462753
19,0,sd,ref,NA
19,0,kurtosis,meas,16.24508827525057
19,0,kurtosis,ref,NA
19,0,skewness,meas,2.2793596613783365
19,0,skewness,ref,NA
19,0,KL,NA,NA
19,0,hellinger,NA,NA
19,0,euclidean,NA,NA
20,0,mean,meas,0.20385394142926552
20,0,mean,ref,NA
20,0,sd,meas,0.056857323565746264
20,0,sd,ref,NA
20,0,kurtosis,meas,5.2228788601923855
20,0,kurtosis,ref,NA
20,0,skewness,meas,1.2580288054915902
20,0,skewness,ref,NA
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,0.24345945978130767
21,0,mean,ref,NA
21,0,sd,meas,0.061402756923394385
21,0,sd,ref,NA
21,0,kurtosis,meas,5.093482483520411
21,0,kurtosis,ref,NA
21,0,skewness,meas,1.1369761858169303
21,0,skewness,ref,NA
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,0.2639555192994675
22,0,mean,ref,NA
22,0,sd,meas,0.05998540287746519
22,0,sd,ref,NA
22,0,kurtosis,meas,4.761505277834524
22,0,kurtosis,ref,NA
22,0,skewness,meas,0.9181214210272236
22,0,skewness,ref,NA
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,0.2477000563096657
23,0,mean,ref,NA
23,0,sd,meas,0.07725667959134407
23,0,sd,ref,NA
23,0,kurtosis,meas,5.270952587452183
23,0,kurtosis,ref,NA
23,0,skewness,meas,1.3723149164682635
23,0,skewness,ref,NA
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,NA
24,0,mean,ref,NA
24,0,sd,meas,NA
24,0,sd,ref,NA
24,0,kurtosis,meas,NA
24,0,kurtosis,ref,NA
24,0,skewness,meas,NA
24,0,skewness,ref,NA
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,3.0598920107941887
25,0,mean,ref,NA
25,0,sd,meas,2.82152734420077
25,0,sd,ref,NA
25,0,kurtosis,meas,1.0000000000000002
25,0,kurtosis,ref,NA
25,0,skewness,meas,1.677581695805168e-16
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,NA
26,0,mean,ref,NA
26,0,sd,meas,NA
26,0,sd,ref,NA
26,0,kurtosis,meas,NA
26,0,kurtosis,ref,NA
26,0,skewness,meas,NA
26,0,skewness,ref,NA
26,0,KL,NA,NA
26,0,hellinger,NA,NA
26,0,euclidean,NA,NA
27,0,mean,meas,NA
27,0,mean,ref,NA
27,0,sd,meas,NA
27,0,sd,ref,NA
27,0,kurtosis,meas,NA
27,0,kurtosis,ref,NA
27,0,skewness,meas,NA
27,0,skewness,ref,NA
27,0,KL,NA,NA
27,0,hellinger,NA,NA
27,0,euclidean,NA,NA
28,0,mean,meas,NA
28,0,mean,ref,NA
28,0,sd,meas,NA
28,0,sd,ref,NA
28,0,kurtosis,meas,NA
28,0,kurtosis,ref,NA
28,0,skewness,meas,NA
28,0,skewness,ref,NA
28,0,KL,NA,NA
28,0,hellinger,NA,NA
28,0,euclidean,NA,NA
29,0,mean,meas,3.3318768901235303
29,0,mean,ref,NA
29,0,sd,meas,NA
29,0,sd,ref,NA
29,0,kurtosis,meas,NA
29,0,kurtosis,ref,NA
29,0,skewness,meas,NA
29,0,skewness,ref,NA
29,0,KL,NA,NA
29,0,hellinger,NA,NA
29,0,euclidean,NA,NA
30,0,mean,meas,0.20078494502034638
30,0,mean,ref,NA
30,0,sd,meas,0.07476459488122379
30,0,sd,ref,NA
30,0,kurtosis,meas,31.38508650750526
30,0,kurtosis,ref,NA
30,0,skewness,meas,3.861022837168272
30,0,skewness,ref,NA
30,0,KL,NA,NA
30,0,hellinger,NA,NA
30,0,euclidean,NA,NA
31,0,mean,meas,0.2050782330288401
31,0,mean,ref,NA
31,0,sd,meas,0.05722963578579586
31,0,sd,ref,NA
31,0,kurtosis,meas,5.1778260691307745
31,0,kurtosis,ref,NA
31,0,skewness,meas,1.1243004310346316
31,0,skewness,ref,NA
31,0,KL,NA,NA
31,0,hellinger,NA,NA
31,0,euclidean,NA,NA
32,0,mean,meas,0.27471716930102263
32,0,mean,ref,NA
32,0,sd,meas,0.057817989450987865
32,0,sd,ref,NA
32,0,kurtosis,meas,2.510518203509275
32,0,kurtosis,ref,NA
32,0,skewness,meas,0.008178993952998564
32,0,skewness,ref,NA
32,0,KL,NA,NA
32,0,hellinger,NA,NA
32,0,euclidean,NA,NA
