mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.28953426165656065
0,0,mean,ref,NA
0,0,sd,meas,0.16833034784302486
0,0,sd,ref,NA
0,0,kurtosis,meas,5.75634797199445
0,0,kurtosis,ref,NA
0,0,skewness,meas,1.6076783403464991
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,23,mean,meas,0.22591750094390756
1,23,mean,ref,0.3898775
1,23,sd,meas,0.12327853052977827
1,23,sd,ref,0.18701010518781036
1,23,kurtosis,meas,12.685502535425398
1,23,kurtosis,ref,5.477332655130696
1,23,skewness,meas,2.708598474026417
1,23,skewness,ref,1.3850846130200287
1,23,KL,NA,0.9741691892690448
1,23,hellinger,NA,0.43277919602551385
1,23,euclidean,NA,0.355608719983629
2,37,mean,meas,0.2916727473454701
2,37,mean,ref,0.45209116409537164
2,37,sd,meas,0.23407627900411102
2,37,sd,ref,0.30756150630496853
2,37,kurtosis,meas,7.936331417787824
2,37,kurtosis,ref,8.255052108489608
2,37,skewness,meas,2.2821983661149177
2,37,skewness,ref,2.1581148821713056
2,37,KL,NA,0.7568371229150853
2,37,hellinger,NA,0.391012339594573
2,37,euclidean,NA,0.3494579777884869
3,29,mean,meas,0.2293522689737273
3,29,mean,ref,0.3979679767103348
3,29,sd,meas,0.11073084232809088
3,29,sd,ref,0.17649999915545894
3,29,kurtosis,meas,20.050319336465584
3,29,kurtosis,ref,8.82080582599016
3,29,skewness,meas,3.193063053995429
3,29,skewness,ref,1.6778656730326968
3,29,KL,NA,1.067875595508297
3,29,hellinger,NA,0.46965320815502115
3,29,euclidean,NA,0.37882221383952086
4,34,mean,meas,0.22943438094648597
4,34,mean,ref,0.3771540880503145
4,34,sd,meas,0.13164495746462349
4,34,sd,ref,0.18301489504964666
4,34,kurtosis,meas,21.572337867467198
4,34,kurtosis,ref,12.624389218761975
4,34,skewness,meas,3.7718109373737123
4,34,skewness,ref,2.3565021563713358
4,34,KL,NA,1.1128150207441125
4,34,hellinger,NA,0.46908232271070943
4,34,euclidean,NA,0.38795697037360743
5,23,mean,meas,0.2019034561639551
5,23,mean,ref,0.3407064220183486
5,23,sd,meas,0.10335097338736929
5,23,sd,ref,0.16467644099576426
5,23,kurtosis,meas,11.997235623861657
5,23,kurtosis,ref,8.463091351682982
5,23,skewness,meas,2.6576273464217186
