mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.16833034784302486,0.16833034784302486
1,1,0,0,0,0.12327853052977827,0.12327853052977827
2,1,0,0,0,0.23407627900411102,0.23407627900411102
3,1,0,0,0,0.11073084232809088,0.11073084232809088
4,1,0,0,0,0.13164495746462349,0.13164495746462349
5,1,0,0,0,0.10335097338736929,0.10335097338736929
6,1,0,0,0,0.08444879395225122,0.08444879395225122
7,1,0,0,0,0.06906299060149798,0.06906299060149798
8,1,0,0,0,0.14510638080687555,0.14510638080687555
9,1,0,0,0,0.06614292323607061,0.06614292323607061
10,1,0,0,0,0.07363547449783592,0.07363547449783592
11,1,0,0,0,0.1025247342972759,0.1025247342972759
12,0.007835924326322682,0.2092706039250462,-0.01341490024308789,0.01992098898540512,0.13861785255448023,0.16833034784302486
13,0.0053725393166985345,0.2172885302579749,0.06022879825237148,0.037838075493431,0.17669354753830127,0.12327853052977827
14,0.00936013143165849,0.3318575536208022,0.020715075243778032,0.017299298465272395,0.216756084721832,0.23407627900411102
15,0.041643987102263025,0.13940300248493837,-0.00476749355252715,7.634115277684039e-4,0.10522437390500951,0.11073084232809088
16,0.021552388701885413,0.16784794616918916,0.004569711849694749,0.006147640950412758,0.12180245810871243,0.13164495746462349
17,0.0022711533922996517,0.13851228265592508,-0.0021569140625415212,0.00743836571436679,0.08753896608169089,0.10335097338736929
18,0.0038271844726903577,0.10617571412980262,-0.008420472386895611,-0.0011475834129370949,0.06936213078313186,0.08444879395225122
19,0.12970753026510934,0.07366880438460886,0.0023759714088984933,0.004490475978186498,0.06061810186349833,0.06906299060149798
20,0.0012455669028073623,0.280779147703175,-0.15954393022349417,-0.1308666804598922,0.13862393101155257,0.14510638080687555
21,0.041242149202778015,0.08285417205034251,-0.013370446376062403,-0.013775567647172887,0.06340144953600188,0.06614292323607061
22,0.09291990512953155,0.0843384193085613,-0.013267234009177257,-0.016237936449940288,0.06749617721137019,0.07363547449783592
23,0.10088790986872405,0.09309812497575995,-0.025555247705623462,-0.025146688359297648,0.07819740142712456,0.1025247342972759
24,NA,NA,NA,NA,NA,0.16833034784302486
25,1,3.4878093866457913,2.8585880073127203,2.8585880073127203,2.82152734420077,0.12327853052977827
26,NA,NA,NA,NA,NA,0.23407627900411102
27,NA,NA,NA,NA,NA,0.11073084232809088
28,NA,NA,NA,NA,NA,0.13164495746462349
29,NA,3.23733741249587,3.23733741249587,3.23733741249587,NA,0.10335097338736929
30,0.005170677816433815,0.10777014164161357,-0.005438003273452753,-0.002174105245269592,0.06976260500664665,0.08444879395225122
31,0.16331958766961524,0.06957383678095021,-0.001596071172566943,0.0013884457606329476,0.05712965993882127,0.06906299060149798
32,0.09724064126428339,0.09488584195224392,0.005615997664935408,0.007574554716701931,0.06345113147816667,0.09305550267630117
