"","date","sensor","value","year","season","from_sn_start"
"1",2022-07-11 11:00:00,"aqs",NA,2022,"Summer",3495600
"2",2022-07-11 11:00:00,"beaco2n",NA,2022,"Summer",3495600
"3",2022-07-11 12:00:00,"aqs",NA,2022,"Summer",3499200
"4",2022-07-11 12:00:00,"beaco2n",NA,2022,"Summer",3499200
"5",2022-07-11 14:00:00,"aqs",NA,2022,"Summer",3506400
"6",2022-07-11 14:00:00,"beaco2n",NA,2022,"Summer",3506400
"7",2022-07-11 15:00:00,"aqs",NA,2022,"Summer",3510000
"8",2022-07-11 15:00:00,"beaco2n",NA,2022,"Summer",3510000
"9",2022-07-11 16:00:00,"aqs",NA,2022,"Summer",3513600
"10",2022-07-11 16:00:00,"beaco2n",NA,2022,"Summer",3513600
"11",2022-07-11 17:00:00,"aqs",NA,2022,"Summer",3517200
"12",2022-07-11 17:00:00,"beaco2n",NA,2022,"Summer",3517200
"13",2022-07-11 18:00:00,"aqs",NA,2022,"Summer",3520800
"14",2022-07-11 18:00:00,"beaco2n",NA,2022,"Summer",3520800
"15",2022-07-11 19:00:00,"aqs",NA,2022,"Summer",3524400
"16",2022-07-11 19:00:00,"beaco2n",NA,2022,"Summer",3524400
"17",2022-07-11 20:00:00,"aqs",NA,2022,"Summer",3528000
"18",2022-07-11 20:00:00,"beaco2n",NA,2022,"Summer",3528000
"19",2022-07-11 21:00:00,"aqs",NA,2022,"Summer",3531600
"20",2022-07-11 21:00:00,"beaco2n",NA,2022,"Summer",3531600
"21",2022-07-11 22:00:00,"aqs",NA,2022,"Summer",3535200
"22",2022-07-11 22:00:00,"beaco2n",NA,2022,"Summer",3535200
"23",2022-07-11 23:00:00,"aqs",NA,2022,"Summer",3538800
"24",2022-07-11 23:00:00,"beaco2n",NA,2022,"Summer",3538800
"25",2022-07-12,"aqs",NA,2022,"Summer",3542400
"26",2022-07-12,"beaco2n",NA,2022,"Summer",3542400
"27",2022-07-12 01:00:00,"aqs",NA,2022,"Summer",3546000
"28",2022-07-12 01:00:00,"beaco2n",NA,2022,"Summer",3546000
"29",2022-07-12 02:00:00,"aqs",NA,2022,"Summer",3549600
"30",2022-07-12 02:00:00,"beaco2n",NA,2022,"Summer",3549600
"31",2022-07-12 03:00:00,"aqs",NA,2022,"Summer",3553200
"32",2022-07-12 03:00:00,"beaco2n",NA,2022,"Summer",3553200
"33",2022-07-12 04:00:00,"aqs",NA,2022,"Summer",3556800
"34",2022-07-12 04:00:00,"beaco2n",NA,2022,"Summer",3556800
"35",2022-07-12 05:00:00,"aqs",NA,2022,"Summer",3560400
"36",2022-07-12 05:00:00,"beaco2n",NA,2022,"Summer",3560400
"37",2022-07-12 06:00:00,"aqs",NA,2022,"Summer",3564000
"38",2022-07-12 06:00:00,"beaco2n",NA,2022,"Summer",3564000
"39",2022-07-12 07:00:00,"aqs",NA,2022,"Summer",3567600
"40",2022-07-12 07:00:00,"beaco2n",NA,2022,"Summer",3567600
"41",2022-07-12 08:00:00,"aqs",NA,2022,"Summer",3571200
"42",2022-07-12 08:00:00,"beaco2n",NA,2022,"Summer",3571200
"43",2022-07-12 09:00:00,"aqs",NA,2022,"Summer",3574800
"44",2022-07-12 09:00:00,"beaco2n",NA,2022,"Summer",3574800
"45",2022-07-12 10:00:00,"aqs",NA,2022,"Summer",3578400
"46",2022-07-12 10:00:00,"beaco2n",NA,2022,"Summer",3578400
"47",2022-07-12 11:00:00,"aqs",NA,2022,"Summer",3582000
"48",2022-07-12 11:00:00,"beaco2n",NA,2022,"Summer",3582000
"49",2022-07-12 12:00:00,"aqs",NA,2022,"Summer",3585600
"50",2022-07-12 12:00:00,"beaco2n",NA,2022,"Summer",3585600
"51",2022-07-12 13:00:00,"aqs",NA,2022,"Summer",3589200
"52",2022-07-12 13:00:00,"beaco2n",NA,2022,"Summer",3589200
"53",2022-07-12 14:00:00,"aqs",NA,2022,"Summer",3592800
"54",2022-07-12 14:00:00,"beaco2n",NA,2022,"Summer",3592800
"55",2022-07-12 15:00:00,"aqs",NA,2022,"Summer",3596400
"56",2022-07-12 15:00:00,"beaco2n",NA,2022,"Summer",3596400
"57",2022-07-12 16:00:00,"aqs",NA,2022,"Summer",3600000
"58",2022-07-12 16:00:00,"beaco2n",NA,2022,"Summer",3600000
"59",2022-07-12 17:00:00,"aqs",NA,2022,"Summer",3603600
"60",2022-07-12 17:00:00,"beaco2n",NA,2022,"Summer",3603600
"61",2022-07-12 18:00:00,"aqs",NA,2022,"Summer",3607200
"62",2022-07-12 18:00:00,"beaco2n",NA,2022,"Summer",3607200
"63",2022-07-12 19:00:00,"aqs",NA,2022,"Summer",3610800
"64",2022-07-12 19:00:00,"beaco2n",NA,2022,"Summer",3610800
"65",2022-07-12 20:00:00,"aqs",NA,2022,"Summer",3614400
"66",2022-07-12 20:00:00,"beaco2n",NA,2022,"Summer",3614400
"67",2022-07-12 21:00:00,"aqs",NA,2022,"Summer",3618000
"68",2022-07-12 21:00:00,"beaco2n",NA,2022,"Summer",3618000
"69",2022-07-12 22:00:00,"aqs",NA,2022,"Summer",3621600
"70",2022-07-12 22:00:00,"beaco2n",NA,2022,"Summer",3621600
"71",2022-07-12 23:00:00,"aqs",NA,2022,"Summer",3625200
"72",2022-07-12 23:00:00,"beaco2n",NA,2022,"Summer",3625200
"73",2022-07-13,"aqs",NA,2022,"Summer",3628800
"74",2022-07-13,"beaco2n",NA,2022,"Summer",3628800
"75",2022-07-13 01:00:00,"aqs",NA,2022,"Summer",3632400
"76",2022-07-13 01:00:00,"beaco2n",NA,2022,"Summer",3632400
"77",2022-07-13 02:00:00,"aqs",NA,2022,"Summer",3636000
